roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
cluster manager,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Logistic regressionRoot cause analysisData analysisStatistical modelingAnalyticalHypothesis TestingProduct salesIndividual Contributor,Not disclosed,BFSI,4-5,4,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
lead   co lending and strategic partnership,Bajaj Finserv Ltd.,Pune,5-7 Yrs,ExcelClient relationship managementNBFCProject managementCommercial negotiationsCredit assessmentPortfolio managementKey account management,Not disclosed,BFSI,5-7,5,7,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
lead   operations and service,Bajaj Finserv Ltd.,Pune,6-8 Yrs,Relationship managementInterpersonal skillsExcelAnalyticalLead OperationsProject managementDeploymentCustomer service,Not disclosed,BFSI,6-8,6,8,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
system analyst,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Monitoring toolsSQL databaseProject managementReconciliationProblem managementMS Office toolsSystem AnalystTroubleshooting,Not disclosed,BFSI,4-5,4,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
deputy national lead   operations and service,Bajaj Finserv Ltd.,Pune,10-15 Yrs,Data analysisManager Internal AuditData validationProcess optimizationTeam managementProject managementProcess improvementBusiness excellence,Not disclosed,BFSI,10-15,10,15,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Senior,False,False
lead   digital platforms/senior lead   digital platforms,Bajaj Finserv Ltd.,Pune,9-12 Yrs,LoansInterpersonal skillsdigital contentSocial mediaProject managementTraining and DevelopmentSEOAdobe,Not disclosed,BFSI,9-12,9,12,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Senior,False,False
senior manager   microfinance/senior manager,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Post productionLegal complianceCampaign managementMicrofinanceProject managementUnderwritingDesign developmentManager Technology,Not disclosed,BFSI,5-6,5,6,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
lead   digital platforms,Bajaj Finserv Ltd.,Pune,7-10 Yrs,LoansContent strategyGoogle AnalyticsProject managementVideo editingdigital strategyAdobe After EffectsSEO,Not disclosed,BFSI,7-10,7,10,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
"lead   gl risk, audit, rcu & admin",Bajaj Finserv Ltd.,Pune,5-8 Yrs,OPEXTeam managementExpense managementInfrastructure managementDatabase managementMISCost reductionCustomer service,Not disclosed,BFSI,5-8,5,8,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
lead   rural consumer durable/senior lead   rural consumer durable,Bajaj Finserv Ltd.,Pune,6-14 Yrs,Root cause analysisFraud controlData analysisAction planProcess improvementTeam developmentLeadConsumer durables,Not disclosed,BFSI,6-14,6,14,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
deputy unit manager   payments   retail emi card,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Relationship managementEMIRetailDistribution managementFront endSalesWeb technologiesMIS,Not disclosed,BFSI,5-6,5,6,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
senior manager   gl hr,Bajaj Finserv Ltd.,Pune,4-6 Yrs,HR processesEmployee retentionExcelexit managementPerformance management systemMS WordITESManagement,Not disclosed,BFSI,4-6,4,6,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
senior executive   debt management services   the wheels,Bajaj Finserv Ltd.,Pune,1-2 Yrs,accounts receivablerisk managementteam managementagency managementdebt recoverycollection managementcustomer servicerecovery,Not disclosed,BFSI,1-2,1,2,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Entry,False,False
system analyst,Bajaj Finserv Ltd.,Pune,5-7 Yrs,Performance tuningProject developmentGITWeb technologiesData structuresAnimationSystem AnalystTest cases,Not disclosed,BFSI,5-7,5,7,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
lead   operations and service,Bajaj Finserv Ltd.,Pune,10-12 Yrs,Selection processTrainingTeam managementConcurrent auditComplianceLead OperationsBankingCustomer service,Not disclosed,BFSI,10-12,10,12,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Senior,False,False
deputy national lead   microfinance,Bajaj Finserv Ltd.,Pune,7-8 Yrs,TrainingInterpersonal skillsTeam managementSales planningSales operationsMicrofinanceIT marketingData analytics,Not disclosed,BFSI,7-8,7,8,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
assistant manager   rural term loan,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Quality LeadMIS reportingTrainingInterpersonal skillsProduct salesData analyticsReportingAnalytics,Not disclosed,BFSI,4-5,4,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
software engineer,Bajaj Finserv Ltd.,Pune,4-8 Yrs,Manager Quality AssuranceTesting toolsFunctional testingTest managementPerformance testingSeleniumTest casesUnit testing,Not disclosed,BFSI,4-8,4,8,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
unit manager   data science & engineering unit,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Team managementCampaign managementProject managementMachine learningAgileStakeholder managementRevenue generationAnalytics,Not disclosed,BFSI,3-5,3,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
unit manager   underwriting,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Data analysisData managementProject managementData analyticsStakeholder managementData warehousingMonitoringSQL,Not disclosed,BFSI,3-5,3,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
unit manager   risk/senior unit manager   risk,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Logistic regressionRoot cause analysisData analysisStatistical modelingAnalyticalHypothesis TestingProduct salesIndividual Contributor,Not disclosed,BFSI,4-5,4,5,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
unit manager   payments   ppi,Bajaj Finserv Ltd.,Pune,3-4 Yrs,B2BManagementNew business developmentPaymentsBusiness developmentNew businessDevelopmentUNIT,Not disclosed,BFSI,3-4,3,4,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
manager   microfinance,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Attrition managementPerformance managementTalent acquisitionNBFCMISResourcingService industryMS Office,Not disclosed,BFSI,4-6,4,6,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Mid,False,False
assistant manager,Bajaj Finserv Ltd.,Pune,1-2 Yrs,accounts receivabledebt collectioncredit collectionteam managementdebt recoverycollection managementcustomer servicebanking operations,Not disclosed,BFSI,1-2,1,2,0.0,0.0,False,0.0,25.0,2024-10-29,32.0,Entry,False,False
