roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
operations executive,Simurise Learning Solutions,Mumbai,1-4 Yrs,Back Office ExecutiveMIS reportingBackendExecutiveCorporateProgram deliveryMS OfficeBack office operations,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
operations executive,Simurise Learning Solutions,Navi Mumbai,1-4 Yrs,Back Office ExecutiveMIS reportingBackendExecutiveCorporateProgram deliveryMS OfficeBack office operations,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
hr & engagement manager,Bringle Academy,Mumbai,1-3 Yrs,AdministrationChange managementEvent managementTrend analysisEmployee engagementToolsServiceHealthcare,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
it / data science content writer,Corporate Bridge,Mumbai,1-4 Yrs,E-learningContent managementPDFExceldata scienceCodingWeb developmentHadoop,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
finance content writer,Corporate Bridge,Mumbai,1-4 Yrs,E-learningContent managementPublishingPDFExcelManagement systemsWeb developmentHadoop,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
requirement assistant professor,Sp Jain Institute Of Management And Research,Mumbai,1-6 Yrs,HR ExecutiveFinanceAssistant ProfessorManagementResearchGeneral managementMonitoringTeaching,Not disclosed,Education,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
requirement assistant professor,Sp Jain Institute Of Management And Research,Mumbai,1-6 Yrs,HR ExecutiveFinanceAssistant ProfessorManagementResearchMonitoringTeachingRequirements,Not disclosed,Education,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
project coordinator,Wadhwani Ai,Mumbai,2-4 Yrs,ProcurementUser researchProject CoordinatorInterpersonal skillsEvent managementArtificial IntelligenceHealthcareScheduling,Not disclosed,Education,2-4,2,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
assistant professor   mpstme   economics,Knowledge Park,Mumbai,2-5 Yrs,EconomicsTechnology managementBusiness managementConsultancyAssistant ProfessorResearchAssistanceTechnology,Not disclosed,Education,2-5,2,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
sales executive,Passionmojo,Mumbai,1-3 Yrs,Business administrationTradeInterpersonal skillsSalesExecutive Sales & MarketingPharmaTechnology solutionsDigital marketing,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
telecaller professionals,Livewires Media Institute,Mumbai,2-7 Yrs,bpoback officecustomer servicecustomer complaintscustomer carecustomer interactionsalescustomer support,Not disclosed,Education,2-7,2,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
professor/associate professor/assistant professor mpstme data science,Knowledge Park,Mumbai,3-7 Yrs,data scienceAssociate ProfessorManager TechnologyConsultancyAssistant ProfessorResearchTeachingScience,Not disclosed,Education,3-7,3,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
assistant professor   sopa   guitar,Knowledge Park,Mumbai,5-8 Yrs,TrainingAssistant ProfessorGuitarAssistance,Not disclosed,Education,5-8,5,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
assistant professor   sopa   piano (western contemporary music),Knowledge Park,Mumbai,5-8 Yrs,TrainingAssistant ProfessorAssistanceMusic,Not disclosed,Education,5-8,5,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
product analyst,Wadhwani Ai,Mumbai,2-5 Yrs,Product managementData analysisProject managementMachine learningAgileWorkflowHealthcareSystem design,Not disclosed,Education,2-5,2,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
senior marketing manager (edtech   k12),Empowering The Learning Ecosystem For Schools And Students,Mumbai(Andheri West),5-8 Yrs,Ui/UxGoogle AnalyticsGoogle AdWordsDigital MarketingAtl BtlLead SquaredWebEngageZoho,Not disclosed,Education,5-8,5,8,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
instructional design specialist,Wadhwani Ai,Mumbai,5-7 Yrs,E-learningStakeholder EngagementLMSInstructional designManagement systemsProject managementArtificial IntelligenceProgram delivery,Not disclosed,Education,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
ai trainer,Wadhwani Ai,Mumbai,3-5 Yrs,Computer visionMoodleCurriculum developmentArtificial IntelligenceMachine learningHealthcareNatural language processingContinuous improvement,Not disclosed,Education,3-5,3,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
requirement associate professor,Sp Jain Institute Of Management And Research,Mumbai,6-11 Yrs,Industry researchAssociate ProfessorFinanceHRResearchManagementMonitoringTeaching,Not disclosed,Education,6-11,6,11,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
freelance senior java resource,Imurgence,Mumbai,4-9 Yrs,ScalabilityArchitectureCodingJava J2Ee DeveloperArchitectural designDebuggingTechnical leadershipTroubleshooting,Not disclosed,Education,4-9,4,9,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
engagement lead   ai,Wadhwani Ai,Mumbai,12-15 Yrs,Computer scienceData managementProject managementAnalyticalArtificial IntelligenceEngagement LeadManager TechnologyHealthcare,Not disclosed,Education,12-15,12,15,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
executive assistant,K J Somaiya Institute Of Management,Mumbai,1-4 Yrs,Interpersonal skillsExecutiveCommunication managementIllustratorMISDirectorSchedulingManagement,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
junior clerk,K J Somaiya Institute Of Management,Mumbai,2-7 Yrs,PrintingAdministrationReport generationJunior ClerkBudgetingSupervisionReportingGeneration,Not disclosed,Education,2-7,2,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
manager   administration,Jbcn,Mumbai,3-8 Yrs,HousekeepingInterpersonal skillsComplianceguest satisfactionCustomer serviceMonitoringInterpersonalManagement,Not disclosed,Education,3-8,3,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
overseas education counsellor,Numen Eduservices,Mumbai,1-5 Yrs,Education CounsellorOverseas educationCounsellingEducationEducation counseling,Not disclosed,Education,1-5,1,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
overseas education counsellor,Numen Eduservices,New Delhi,1-5 Yrs,Education CounsellorOverseas educationCounsellingEducationEducation counseling,Not disclosed,Education,1-5,1,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
tax consultant,Ca Monk,Mumbai,1-4 Yrs,PayrollIncome taxAnalyticalTransfer pricingConsultingIndirect taxationCorporate taxationCam,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
assistant accounts & finance manager,Iide Education,Mumbai(Lower Parel West),5-10 Yrs,Finance And AccountsBalance Sheet FinalisationTDSFinanceGstAccounts And FinanceTaxationCash Flow,5-11 Lacs PA,Education,5-10,5,10,5.0,11.0,True,8.0,19.0,2024-11-05,25.0,Mid,False,False
assistant professor   sppsptm   pharmacology,Knowledge Park,Mumbai,1-4 Yrs,Assistant ProfessorPharmacologyResearchTeachingAssistance,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
android developer,Ventura Technologies,Mumbai,1-4 Yrs,Object oriented designCore JavaPrototypeGITTDDSQLiteAgilesoftware quality,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
counsellor (psychologist),K J Somaiya Institute Of Management,Mumbai,5-10 Yrs,CounsellorPDFPsychologyConsultancyRepresentativeResearchCounselling,Not disclosed,Education,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
sr student visa experts,Numen Eduservices,Mumbai,1-4 Yrs,Sr Student Visa Experts,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
sr student visa experts,Numen Eduservices,New Delhi,1-4 Yrs,Sr Student Visa Experts,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
customer services,Bfc Forex And Financial Services,Mumbai,1-4 Yrs,ForexHead Business DevelopmentManager Internal AuditOperational excellencePDFWorkflowCustomer serviceMS Office,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
youtube growth manager,Passionmojo,Mumbai,2-6 Yrs,Digital mediaMarketing campaignsRelationshipUPSSEMGrowth strategyManagementSEO,Not disclosed,Education,2-6,2,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
business development manager,Numen Eduservices,Mumbai,2-6 Yrs,Business Development ManagerManagementBusiness development managementDevelopmentBusiness development,Not disclosed,Education,2-6,2,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
business development manager,Numen Eduservices,New Delhi,2-6 Yrs,Business Development ManagerManagementBusiness development managementDevelopmentBusiness development,Not disclosed,Education,2-6,2,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
officer   communications: alumni relations,K J Somaiya Institute Of Management,Mumbai,5-10 Yrs,Media managementSocial mediaProject managementcontent designingManagementDigital marketingFund raisingMonitoring,Not disclosed,Education,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
digital marketing strategist   advertising & marketing company,Passionmojo,Mumbai,1-4 Yrs,Social media marketingQuality LeadPPCData analysisEmail marketingMarketing campaignsSEODigital marketing,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
manager alumni relations,K J Somaiya Institute Of Management,Mumbai,7-8 Yrs,Administration managementBusiness administrationStakeholder EngagementEvent managementMISManagementMS OfficeMonitoring,Not disclosed,Education,7-8,7,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
business development manager   underwriting,Profituni.In,Mumbai,4-8 Yrs,Senior managementSales processNew business developmentNew businessSalesBusiness developmentDevelopmentSenior,Not disclosed,Education,4-8,4,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
secondary section : librarian,Bombay Scottish School,Mumbai,3-8 Yrs,pre primarycataloguinglibrary managementinformation managementlibrary sciencelibsysteachinglibrary automation,Not disclosed,Education,3-8,3,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
