roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
urgent opening for rmos,Wockhardt Hospitals,Mumbai Suburban,23 Nov - 02 Dec,medicalwardsresident medical officerRmo,4-5 Lacs PA,Healthcare,23 Nov - 02 Dec,0,0,4.0,5.0,True,4.5,1.0,2024-11-23,7.0,Entry,False,False
urgent opening for rmos,Wockhardt Hospitals,Mumbai (All Areas)(Mumbai Central),23 Nov - 02 Dec,medicalwardsresident medical officerRmo,4-5 Lacs PA,Healthcare,23 Nov - 02 Dec,0,0,4.0,5.0,True,4.5,1.0,2024-11-23,7.0,Entry,False,False
pharmacovigilance interns   b.pharm / m.pharm/ pharm d   freshers,Clin Infotech,Hyderabad/ Secunderabad,0-1 Yrs,PharmacovigilancePharmaceuticsMedDRAPVPharmacologyPharmDClinical TrialsLife Sciences,Not disclosed,Healthcare,0-1,0,1,0.0,0.0,False,0.0,15.0,2024-11-09,21.0,Entry,False,False
pharmacovigilance interns   b.pharm / m.pharm/ pharm d   freshers,Clin Infotech,Pune,0-1 Yrs,PharmacovigilancePharmaceuticsMedDRAPVPharmacologyPharmDClinical TrialsLife Sciences,Not disclosed,Healthcare,0-1,0,1,0.0,0.0,False,0.0,15.0,2024-11-09,21.0,Entry,False,False
pharmacovigilance interns   b.pharm / m.pharm/ pharm d   freshers,Clin Infotech,Bangalore/ Bengaluru,0-1 Yrs,PharmacovigilancePharmaceuticsMedDRAPVPharmacologyPharmDClinical TrialsLife Sciences,Not disclosed,Healthcare,0-1,0,1,0.0,0.0,False,0.0,15.0,2024-11-09,21.0,Entry,False,False
erp project management office,Merck,Bengaluru,1-3 Yrs,Business communicationAdministrationERPProject managementTraining need analysisBudgetingManagementJIRA,Not disclosed,Healthcare,1-3,1,3,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Entry,False,False
content creator,Prayag Health,Kolkata,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,Mumbai,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,New Delhi,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,Hyderabad,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,Pune,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,Chennai,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
content creator,Prayag Health,Bengaluru,2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,Not disclosed,Healthcare,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
"associate scientist, qpp",Cytel Statistical Software &Amp;Amp;Amp; Services Pvt. Ltd.,Kolkata,1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,Not disclosed,Healthcare,1-2,1,2,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Entry,False,False
"associate scientist, qpp",Cytel Statistical Software &Amp;Amp;Amp; Services Pvt. Ltd.,Mumbai,1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,Not disclosed,Healthcare,1-2,1,2,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Entry,False,False
"associate scientist, qpp",Cytel Statistical Software &Amp;Amp;Amp; Services Pvt. Ltd.,New Delhi,1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,Not disclosed,Healthcare,1-2,1,2,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Entry,False,False
"associate scientist, qpp",Cytel Statistical Software &Amp;Amp;Amp; Services Pvt. Ltd.,Hyderabad,1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,Not disclosed,Healthcare,1-2,1,2,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Entry,False,False
