roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
digital full stack,Zensar,Kolkata,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,Mumbai,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,New Delhi,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,Hyderabad,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,Pune,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,Chennai,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
digital full stack,Zensar,Bengaluru,5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,Not disclosed,IT services,5-8,5,8,0.0,0.0,False,0.0,1.0,2024-11-22,8.0,Mid,False,False
oracle fusion scm functional lead,Oracle,Hybrid - Kolkata,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Mumbai,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Gandhinagar,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Hyderabad/Secunderabad,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Pune,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Chennai,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
oracle fusion scm functional lead,Oracle,Bangalore/Bengaluru,8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,18-33 Lacs PA (Including Variable: 15.0%),IT services,8-13,8,13,0.0,0.0,True,0.0,2.0,2024-11-21,9.0,Senior,False,False
