roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
content writer no of openings: 4,World E Mart,Kolkata,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,Mumbai,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,New Delhi,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,Hyderabad/Secunderabad,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,Pune,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,Chennai,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
content writer no of openings: 4,World E Mart,Bangalore/Bengaluru,5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,Not disclosed,Media entertainment & Telecom,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
webmaster,Hotel Supply Mart,Kolkata,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,Mumbai,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,New Delhi,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,Hyderabad/Secunderabad,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,Pune,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,Chennai,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
webmaster,Hotel Supply Mart,Bangalore/Bengaluru,1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,Not disclosed,Media entertainment & Telecom,1-6,1,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Kolkata,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Mumbai,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,New Delhi,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Hyderabad,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Pune,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Chennai,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,Bengaluru,3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,Not disclosed,Media entertainment & Telecom,3-12,3,12,0.0,0.0,False,0.0,1.0,2024-11-23,7.0,Mid,False,False
localization engineer,Pole To Win (Ptw),Kolkata,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Mumbai,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),New Delhi,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Hyderabad,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Pune,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Chennai,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Bengaluru,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Media entertainment & Telecom,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
