roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
software qa engineer,Zeidler Legal Process Outsourcing,Mumbai,2-4 Yrs,System testingPostgresqlPerformance testingAgileScrumTest casesUnit testingsoftware quality,Not disclosed,Professional Services,2-4,2,4,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Entry,False,False
soc shift lead,Mitkat,Mumbai,3-8 Yrs,Quality standardsPDFExcelAccess managementSOCShift LeadIncident managementpower bi,Not disclosed,Professional Services,3-8,3,8,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
logo & graphics designer,99Logos,Mumbai,1-5 Yrs,GraphicsSANGraphic designingFrenchIllustratorSocial mediaCorel Drawpackaging design,Not disclosed,Professional Services,1-5,1,5,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Entry,False,False
logo & graphics designer,99Logos,Nashik,1-5 Yrs,GraphicsSANGraphic designingFrenchIllustratorSocial mediaCorel Drawpackaging design,Not disclosed,Professional Services,1-5,1,5,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Entry,False,False
managing director,Prompt Personnel,Mumbai,3-8 Yrs,TrainingPathologyPayrollDiagnosticsBillingLabManaging DirectorCase,Not disclosed,Professional Services,3-8,3,8,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
managing director,Prompt Personnel,Mumbai,5-10 Yrs,m dequipmentstestssupervisingtechnicianmachinescustomerslab,Not disclosed,Professional Services,5-10,5,10,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
graphic designer,One Point One Solutions,Mumbai,5-7 Yrs,GraphicsPrintingGraphic designingSocial mediaConceptualizationManagementDesignMedia,Not disclosed,Professional Services,5-7,5,7,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
junior architect,Shree Designs,Mumbai,2-3 Yrs,Health insuranceMarket studyAutoCADCADProject HeadHealthcareREVITInternship,Not disclosed,Professional Services,2-3,2,3,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Entry,False,False
java with web services l1,Teamquest Consultant Private Limited,Mumbai,7-10 Yrs,HibernateSpring mvcjQueryWeb serviceshtml5bootstrapSpringAWS,Not disclosed,Professional Services,7-10,7,10,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
java support,Teamquest Consultant Private Limited,Mumbai,3-5 Yrs,Root cause analysisRecruitment ExecutiveCore JavaMonitoring toolsLinuxSpring frameworkIncident managementTechnical support,Not disclosed,Professional Services,3-5,3,5,0.0,0.0,False,0.0,30.0,2024-10-24,37.0,Mid,False,False
