roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
reliance is hiring for social media blended process,Jio,Hybrid - New Delhi,1-2 Yrs,Blended ProcessInternational Call CenterExcellent Communication In EnglishInternational BPOInternational Voice ProcessCustomer ServiceSemi VoiceNon Voice,2.75-3.5 Lacs PA,Technology,1-2,1,2,2.75,3.5,True,3.125,5.0,2024-11-19,11.0,Entry,False,False
reliance is hiring for social media blended process,Jio,Pune,1-2 Yrs,Blended ProcessInternational Call CenterExcellent Communication In EnglishInternational BPOInternational Voice ProcessCustomer ServiceSemi VoiceNon Voice,2.75-3.5 Lacs PA,Technology,1-2,1,2,2.75,3.5,True,3.125,5.0,2024-11-19,11.0,Entry,False,False
reliance is hiring for social media blended process,Jio,Mumbai (All Areas),1-2 Yrs,Blended ProcessInternational Call CenterExcellent Communication In EnglishInternational BPOInternational Voice ProcessCustomer ServiceSemi VoiceNon Voice,2.75-3.5 Lacs PA,Technology,1-2,1,2,2.75,3.5,True,3.125,5.0,2024-11-19,11.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Kolkata,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Mumbai,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),New Delhi,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Hyderabad,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Pune,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Chennai,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
localization engineer,Pole To Win (Ptw),Bengaluru,1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,Not disclosed,Technology,1-4,1,4,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
