roles,companies,locations,experience,skills,Dates,PresentDate,salary
Cluster Manager,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Logistic regressionRoot cause analysisData analysisStatistical modelingAnalyticalHypothesis TestingProduct salesIndividual Contributor,25 Days Ago,23-11-2024,Not disclosed
Lead - Co-lending and Strategic Partnership,Bajaj Finserv Ltd.,Pune,5-7 Yrs,ExcelClient relationship managementNBFCProject managementCommercial negotiationsCredit assessmentPortfolio managementKey account management,25 Days Ago,23-11-2024,Not disclosed
Lead - Operations and Service,Bajaj Finserv Ltd.,Pune,6-8 Yrs,Relationship managementInterpersonal skillsExcelAnalyticalLead OperationsProject managementDeploymentCustomer service,25 Days Ago,23-11-2024,Not disclosed
System Analyst,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Monitoring toolsSQL databaseProject managementReconciliationProblem managementMS Office toolsSystem AnalystTroubleshooting,25 Days Ago,23-11-2024,Not disclosed
Deputy National Lead - Operations and Service,Bajaj Finserv Ltd.,Pune,10-15 Yrs,Data analysisManager Internal AuditData validationProcess optimizationTeam managementProject managementProcess improvementBusiness excellence,25 Days Ago,23-11-2024,Not disclosed
Lead - Digital Platforms/Senior Lead - Digital Platforms,Bajaj Finserv Ltd.,Pune,9-12 Yrs,LoansInterpersonal skillsdigital contentSocial mediaProject managementTraining and DevelopmentSEOAdobe,25 Days Ago,23-11-2024,Not disclosed
Senior Manager - Microfinance/Senior Manager,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Post productionLegal complianceCampaign managementMicrofinanceProject managementUnderwritingDesign developmentManager Technology,25 Days Ago,23-11-2024,Not disclosed
Lead - Digital Platforms,Bajaj Finserv Ltd.,Pune,7-10 Yrs,LoansContent strategyGoogle AnalyticsProject managementVideo editingdigital strategyAdobe After EffectsSEO,25 Days Ago,23-11-2024,Not disclosed
"Lead - GL Risk, Audit, RCU & Admin",Bajaj Finserv Ltd.,Pune,5-8 Yrs,OPEXTeam managementExpense managementInfrastructure managementDatabase managementMISCost reductionCustomer service,25 Days Ago,23-11-2024,Not disclosed
Lead - Rural Consumer Durable/Senior Lead - Rural Consumer Durable,Bajaj Finserv Ltd.,Pune,6-14 Yrs,Root cause analysisFraud controlData analysisAction planProcess improvementTeam developmentLeadConsumer durables,25 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Payments - Retail EMI Card,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Relationship managementEMIRetailDistribution managementFront endSalesWeb technologiesMIS,25 Days Ago,23-11-2024,Not disclosed
Senior Manager - GL HR,Bajaj Finserv Ltd.,Pune,4-6 Yrs,HR processesEmployee retentionExcelexit managementPerformance management systemMS WordITESManagement,25 Days Ago,23-11-2024,Not disclosed
Senior Executive - Debt Management Services - The Wheels,Bajaj Finserv Ltd.,Pune,1-2 Yrs,accounts receivablerisk managementteam managementagency managementdebt recoverycollection managementcustomer servicerecovery,25 Days Ago,23-11-2024,Not disclosed
System Analyst,Bajaj Finserv Ltd.,Pune,5-7 Yrs,Performance tuningProject developmentGITWeb technologiesData structuresAnimationSystem AnalystTest cases,25 Days Ago,23-11-2024,Not disclosed
Lead - Operations and Service,Bajaj Finserv Ltd.,Pune,10-12 Yrs,Selection processTrainingTeam managementConcurrent auditComplianceLead OperationsBankingCustomer service,25 Days Ago,23-11-2024,Not disclosed
Deputy National Lead - Microfinance,Bajaj Finserv Ltd.,Pune,7-8 Yrs,TrainingInterpersonal skillsTeam managementSales planningSales operationsMicrofinanceIT marketingData analytics,25 Days Ago,23-11-2024,Not disclosed
Assistant Manager - Rural Term Loan,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Quality LeadMIS reportingTrainingInterpersonal skillsProduct salesData analyticsReportingAnalytics,25 Days Ago,23-11-2024,Not disclosed
Software Engineer,Bajaj Finserv Ltd.,Pune,4-8 Yrs,Manager Quality AssuranceTesting toolsFunctional testingTest managementPerformance testingSeleniumTest casesUnit testing,25 Days Ago,23-11-2024,Not disclosed
Unit Manager - Data Science & Engineering Unit,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Team managementCampaign managementProject managementMachine learningAgileStakeholder managementRevenue generationAnalytics,25 Days Ago,23-11-2024,Not disclosed
Unit Manager - Underwriting,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Data analysisData managementProject managementData analyticsStakeholder managementData warehousingMonitoringSQL,25 Days Ago,23-11-2024,Not disclosed
Unit Manager - Risk/Senior Unit Manager - Risk,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Logistic regressionRoot cause analysisData analysisStatistical modelingAnalyticalHypothesis TestingProduct salesIndividual Contributor,25 Days Ago,23-11-2024,Not disclosed
Unit Manager - Payments - PPI,Bajaj Finserv Ltd.,Pune,3-4 Yrs,B2BManagementNew business developmentPaymentsBusiness developmentNew businessDevelopmentUNIT,25 Days Ago,23-11-2024,Not disclosed
Manager - Microfinance,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Attrition managementPerformance managementTalent acquisitionNBFCMISResourcingService industryMS Office,25 Days Ago,23-11-2024,Not disclosed
Assistant Manager,Bajaj Finserv Ltd.,Pune,1-2 Yrs,accounts receivabledebt collectioncredit collectionteam managementdebt recoverycollection managementcustomer servicebanking operations,25 Days Ago,23-11-2024,Not disclosed
