roles,companies,locations,experience,skills,Dates,PresentDate,salary
Store Manager,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Stock controlSalesHotel managementReconciliationSchedulingCustomer serviceForecastingOperations,4 Days Ago,24-11-2024,Not disclosed
Walkin drive For Graduate Freshers,DMart,Mumbai Suburban,21 Nov - 30 Nov,ExcelMS OfficeData EntryMs WordDataDrivesWordOffice,6 Days Ago,24-11-2024,1-2 Lacs PA
"Manager, Finance - FP&A",Walmart,Bengaluru,2-10 Yrs,Data analysisNetworkingAgileBudgetingBusiness strategyBusiness partneringForecastingSQL,2 Days Ago,24-11-2024,Not disclosed
Store Manager (Apparel & Fashion Luxury Brand),Fashion Apparel industry,"Kolkata, Mumbai, Pune",3-8 Yrs,Apparel IndustryStore ManagementStore ManagerStore OperationsApparel ManufacturingGarment ManufacturingClothingFashion,2 Days Ago,24-11-2024,5-6 Lacs PA
DMart - Circle HR Manager,DMart,"Bhopal, Mumbai Suburban, Aurangabad",10-15 Yrs,Grievance HandlingEmployee EngagementStatutory ComplianceRecruitmentTrainingPMSHuman resource managementPM,12 Days Ago,24-11-2024,Not disclosed
Freelance Job For Freshers & Students - Hyderabad (Telangana),2coms,Hyderabad,0-5 Yrs,vendor managementmerchant acquiringoperations managementteam managementtrainingbanking operationsmerchant onboardingexcel,1 Day Ago,24-11-2024,Not disclosed
Freelance Job For Freshers & Students - Kolkata (West Bengal),2coms,Kolkata,0-5 Yrs,vendor managementmerchant acquiringoperations managementteam managementtrainingbanking operationsmerchant onboardingexcel,1 Day Ago,24-11-2024,Not disclosed
Optometrist,Titan Company,"Pune, Mumbai (All Areas)",0-4 Yrs,OptometryOpticsRefraction,6 Days Ago,24-11-2024,"50,000-3 Lacs PA"
Freelance Job For Freshers & Students - Coimbatore (Tamil Nadu),2coms,Coimbatore,0-5 Yrs,event managementbrandingbrand activationbrand communicationbusiness developmentadvertisingsalesbrand management,1 Day Ago,24-11-2024,Not disclosed
BSc Physics / Chemistry-Freshers For Textile lab,Shahi,Bangalore/ Bengaluru(Arekere),0 Yrs,Textile TestingSoftware testingTextilePhysicsLab,1 Day Ago,24-11-2024,Not disclosed
