roles,companies,locations,experience,skills,Dates,PresentDate,salary
Operations Executive,Simurise Learning Solutions,"Mumbai, Navi Mumbai",1-4 Yrs,Back Office ExecutiveMIS reportingBackendExecutiveCorporateProgram deliveryMS OfficeBack office operations,30+ Days Ago,24-11-2024,Not disclosed
HR & Engagement Manager,Bringle Academy,Mumbai,1-3 Yrs,AdministrationChange managementEvent managementTrend analysisEmployee engagementToolsServiceHealthcare,30+ Days Ago,24-11-2024,Not disclosed
IT / Data Science Content Writer,Corporate Bridge,Mumbai,1-4 Yrs,E-learningContent managementPDFExceldata scienceCodingWeb developmentHadoop,30+ Days Ago,24-11-2024,Not disclosed
Finance Content Writer,Corporate Bridge,Mumbai,1-4 Yrs,E-learningContent managementPublishingPDFExcelManagement systemsWeb developmentHadoop,30+ Days Ago,24-11-2024,Not disclosed
Requirement Assistant Professor,SP Jain Institute Of Management And Research,Mumbai,1-6 Yrs,HR ExecutiveFinanceAssistant ProfessorManagementResearchGeneral managementMonitoringTeaching,30+ Days Ago,24-11-2024,Not disclosed
Requirement Assistant Professor,SP Jain Institute Of Management And Research,Mumbai,1-6 Yrs,HR ExecutiveFinanceAssistant ProfessorManagementResearchMonitoringTeachingRequirements,30+ Days Ago,24-11-2024,Not disclosed
Project Coordinator,Wadhwani Ai,Mumbai,2-4 Yrs,ProcurementUser researchProject CoordinatorInterpersonal skillsEvent managementArtificial IntelligenceHealthcareScheduling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor - MPSTME - Economics,Knowledge Park,Mumbai,2-5 Yrs,EconomicsTechnology managementBusiness managementConsultancyAssistant ProfessorResearchAssistanceTechnology,30+ Days Ago,24-11-2024,Not disclosed
Sales Executive,Passionmojo,Mumbai,1-3 Yrs,Business administrationTradeInterpersonal skillsSalesExecutive Sales & MarketingPharmaTechnology solutionsDigital marketing,30+ Days Ago,24-11-2024,Not disclosed
Telecaller Professionals,Livewires Media Institute,Mumbai,2-7 Yrs,bpoback officecustomer servicecustomer complaintscustomer carecustomer interactionsalescustomer support,30+ Days Ago,24-11-2024,Not disclosed
Professor/Associate Professor/Assistant Professor-MPSTME-Data Science,Knowledge Park,Mumbai,3-7 Yrs,data scienceAssociate ProfessorManager TechnologyConsultancyAssistant ProfessorResearchTeachingScience,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor - SoPA - Guitar,Knowledge Park,Mumbai,5-8 Yrs,TrainingAssistant ProfessorGuitarAssistance,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor - SoPA - Piano (Western Contemporary Music),Knowledge Park,Mumbai,5-8 Yrs,TrainingAssistant ProfessorAssistanceMusic,30+ Days Ago,24-11-2024,Not disclosed
Product Analyst,Wadhwani Ai,Mumbai,2-5 Yrs,Product managementData analysisProject managementMachine learningAgileWorkflowHealthcareSystem design,30+ Days Ago,24-11-2024,Not disclosed
Senior Marketing Manager (EdTech - K12),Empowering the learning ecosystem for schools and students,Mumbai(Andheri West),5-8 Yrs,Ui/UxGoogle AnalyticsGoogle AdWordsDigital MarketingAtl BtlLead SquaredWebEngageZoho,17 Days Ago,24-11-2024,Not disclosed
Instructional Design Specialist,Wadhwani Ai,Mumbai,5-7 Yrs,E-learningStakeholder EngagementLMSInstructional designManagement systemsProject managementArtificial IntelligenceProgram delivery,30+ Days Ago,24-11-2024,Not disclosed
AI Trainer,Wadhwani Ai,Mumbai,3-5 Yrs,Computer visionMoodleCurriculum developmentArtificial IntelligenceMachine learningHealthcareNatural language processingContinuous improvement,30+ Days Ago,24-11-2024,Not disclosed
Requirement Associate Professor,SP Jain Institute Of Management And Research,Mumbai,6-11 Yrs,Industry researchAssociate ProfessorFinanceHRResearchManagementMonitoringTeaching,30+ Days Ago,24-11-2024,Not disclosed
Freelance Senior Java Resource,Imurgence,Mumbai,4-9 Yrs,ScalabilityArchitectureCodingJava J2Ee DeveloperArchitectural designDebuggingTechnical leadershipTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
Engagement Lead - AI,Wadhwani Ai,Mumbai,12-15 Yrs,Computer scienceData managementProject managementAnalyticalArtificial IntelligenceEngagement LeadManager TechnologyHealthcare,30+ Days Ago,24-11-2024,Not disclosed
Executive Assistant,K J Somaiya Institute of Management,Mumbai,1-4 Yrs,Interpersonal skillsExecutiveCommunication managementIllustratorMISDirectorSchedulingManagement,30+ Days Ago,24-11-2024,Not disclosed
Junior Clerk,K J Somaiya Institute of Management,Mumbai,2-7 Yrs,PrintingAdministrationReport generationJunior ClerkBudgetingSupervisionReportingGeneration,30+ Days Ago,24-11-2024,Not disclosed
Manager - Administration,JBCN,Mumbai,3-8 Yrs,HousekeepingInterpersonal skillsComplianceguest satisfactionCustomer serviceMonitoringInterpersonalManagement,30+ Days Ago,24-11-2024,Not disclosed
Overseas Education Counsellor,Numen Eduservices,"Mumbai, New Delhi",1-5 Yrs,Education CounsellorOverseas educationCounsellingEducationEducation counseling,30+ Days Ago,24-11-2024,Not disclosed
Tax Consultant,CA Monk,Mumbai,1-4 Yrs,PayrollIncome taxAnalyticalTransfer pricingConsultingIndirect taxationCorporate taxationCam,30+ Days Ago,24-11-2024,Not disclosed
Assistant Accounts & Finance Manager,Iide Education,Mumbai(Lower Parel West),5-10 Yrs,Finance And AccountsBalance Sheet FinalisationTDSFinanceGstAccounts And FinanceTaxationCash Flow,19 Days Ago,24-11-2024,5-11 Lacs PA
Assistant Professor - SPPSPTM - Pharmacology,Knowledge Park,Mumbai,1-4 Yrs,Assistant ProfessorPharmacologyResearchTeachingAssistance,30+ Days Ago,24-11-2024,Not disclosed
