roles,companies,locations,experience,skills,Dates,PresentDate,salary
Urgent Opening For RMOs,Wockhardt Hospitals,"Mumbai Suburban, Mumbai (All Areas)(Mumbai Central)",23 Nov - 02 Dec,medicalwardsresident medical officerRmo,1 Day Ago,24-11-2024,4-5 Lacs PA
Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Clin Infotech,"Hyderabad/ Secunderabad, Pune, Bangalore/ Bengaluru",0-1 Yrs,PharmacovigilancePharmaceuticsMedDRAPVPharmacologyPharmDClinical TrialsLife Sciences,15 Days Ago,24-11-2024,Not disclosed
ERP Project Management Office,Merck,Bengaluru,1-3 Yrs,Business communicationAdministrationERPProject managementTraining need analysisBudgetingManagementJIRA,1 Day Ago,24-11-2024,Not disclosed
Content Creator,Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,30+ Days Ago,24-11-2024,Not disclosed
"Associate Scientist, QPP",Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,1 Day Ago,24-11-2024,Not disclosed
Beauty Therapist,Kaya Skin Clinic,"Kolkata, Mumbai, Delhi, Pune, Chennai, Bengaluru",3-5 Yrs,doctormbbsMedicalmedicineMedical OfficermediBeauty,30+ Days Ago,24-11-2024,Not disclosed
Apprentice Maintenance,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,project managementstrategic thinkingteam managementproblem analysisleadershipleadership skillswritingpresentation skills,3 Days Ago,24-11-2024,Not disclosed
National Customer Marketing Manager,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-9 Yrs,TradeSales strategyNutritionAccountingE-commerceLogistics managementFMCGKey account management,2 Days Ago,24-11-2024,Not disclosed
"Requirement of IVF Clinician at Fortis Hospital, Bg Road,Bangalore.",Fortis,Bengaluru(Bannerghatta Road),0-3 Yrs,IvfBgRequirementsHospital,4 Days Ago,24-11-2024,Not disclosed
Digital Marketing Specialist,Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Customer acquisitionData analysisSocial mediaWeb developmentHealthcareSEMSEODigital marketing,30+ Days Ago,24-11-2024,Not disclosed
