roles,companies,locations,experience,skills,Dates,PresentDate,salary
DIGITAL FULL STACK,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,continuous integrationcssconfluencejwtunit testingci/cdbootstrapsonar,1 Day Ago,23-11-2024,Not disclosed
Oracle Fusion SCM Functional Lead,Oracle,"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",8-13 Yrs,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionCloud,2 Days Ago,23-11-2024,18-33 Lacs PA (Including Variable: 15.0%)
AI - Financial Services Analytics- Wealth Analytics - Senior Manager,Accenture,"Mumbai, Gurugram, Bengaluru",12-16 Yrs,financial servicesartificial intelligencestakeholder managementai platformcloud computingchatbotpythonnatural language processing,1 Day Ago,23-11-2024,Not disclosed
Oracle Digital Assistant,Wipro,"Mumbai, Chennai, Bengaluru",6-11 Yrs,Oracle SaaSRESTful APIJavaOracle Digital AssistantERPPaaSOracle HCM CloudJavaScript,1 Day Ago,23-11-2024,Not disclosed
.Net + Angular,randstad offshore,"Chennai, Bengaluru, Mumbai (All Areas)",6-11 Yrs,.NetAngularC#,1 Day Ago,23-11-2024,Not disclosed
Fresher,Unifybrains Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,ios traineeTrainingIOSIo,30+ Days Ago,23-11-2024,Not disclosed
Angular Developer,Birlasoft,"Hybrid - Mumbai, Pune, Bengaluru",4-9 Yrs,AngularJava.NETAngular DevelopmentDevelopment,2 Days Ago,23-11-2024,Not disclosed
Production Support| 5 To 12 Yrs | Mumbai & Pune & Bangalore,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",5-10 Yrs,ITILPLSQLJava Application SupportProduction supportProductionApplication supportApplicationJava,11 Days Ago,23-11-2024,7-15 Lacs PA
SALES & MARKETING,Majulah Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7-12 Yrs,Lead generationProduct serviceMarket researchMarketing operationsProduct designSales processCustomer experienceDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Java Developer (Bangalore/Hyderabad/Pune/Chennai) -HKH,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",3-8 Yrs,javaHibernateJava DevelopmentJ2EeSpring BootMicroservicesSpringDevelopment,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Life Sciences -Data Science Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",4-8 Yrs,pythonspotfirepower biqlikviewrhypothesis testingtime seriesmachine learning,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Life Sciences -Data Science Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",4-9 Yrs,microsoft azureqlikviewmarketinglife sciencesawspythonhypothesis testingspotfire,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Supply Chain Analytics - Consultant,Accenture,"Mumbai, Hyderabad, Bengaluru",5-6 Yrs,pythondata manipulationpysparkdata modelingdata visualizationanaplansupply chainmicrosoft azure,1 Day Ago,23-11-2024,Not disclosed
GN - Industry Strategy Utility - Manager,Accenture,"Mumbai, Bengaluru",7-12 Yrs,salesstrategy consultingstakeholder managementstrategic managementcorporate strategydigital strategymarket researchmarket entry strategy,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Life Sciences - Data Science Analyst,Accenture,"Mumbai, Gurugram, Delhi / NCR",2-5 Yrs,pythonspotfirepower birgcpdata managementhypothesis testingtime series,1 Day Ago,23-11-2024,Not disclosed
CN - Retail - SAP Platforms - Consultant,Accenture,Mumbai,2-6 Yrs,project managementsapsap retailpresentation skillssolution designmaster datasap sdstore operations,Today,23-11-2024,Not disclosed
GN - Industry - MC - Energy Upstream - Manager,Accenture,Mumbai,12-20 Yrs,management consultingproject managementenergy auditsalesenergy managementsolar energyenergy accountingelectrical engineering,Today,23-11-2024,Not disclosed
S&C Global Network - AI - Life Sciences -Data Science Consultant,Accenture,Mumbai,4-9 Yrs,microsoft azureqlikviewmarketinglife sciencesawspythonhypothesis testingspotfire,1 Day Ago,23-11-2024,Not disclosed
Application Lead,Accenture,Mumbai,7-12 Yrs,java sdkssisystem integrationnode.jsawscssc++web services,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Life Sciences -Data Science Analyst,Accenture,Mumbai,2-5 Yrs,microsoft azuresqlqlikviewsparkawspythondata managementhypothesis testing,1 Day Ago,23-11-2024,Not disclosed
S&C GN - T&O - Next Gen Comms - Consultant,Accenture,Mumbai,5-7 Yrs,corporate communicationpublic relationsmarketing communicationdigital communicationinternal communicationproject managementccyber security,1 Day Ago,23-11-2024,Not disclosed
DIGITAL FULL STACK -MSFT-FS - .NET,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-9 Yrs,Solution architectureNUnitCodingAgileRPGApplication developmentScrumMVC,3 Days Ago,23-11-2024,Not disclosed
DOT NET FS Lead,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,Solution architectureCodingTDDAgileRPGApplication developmentScrumUnit testing,3 Days Ago,23-11-2024,Not disclosed
DEVOPS - CONSULTING-CONSULTING - ASSESSMENT,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-9 Yrs,Performance tuningNetworkingJBossShell scriptingDNSRPGOracleTroubleshooting,3 Days Ago,23-11-2024,Not disclosed
OMS CONSULTING-MANHATTAN,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Supply chainBusiness processLMSConsultingAgileRPGGap analysisTroubleshooting,3 Days Ago,23-11-2024,Not disclosed
Java,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,continuous integrationNoSQLCloud ServicesRPGTechnical leadershipProgrammingapplication architectureOpen source,3 Days Ago,23-11-2024,Not disclosed
"AUTOMATION TESTING-API, MICROSERVICE, DB, ERP",Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-8 Yrs,Supply chainMavenCore JavaERPXMLRPGJSONScrum,3 Days Ago,23-11-2024,Not disclosed
Java,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,GITAgileRPGWeb designingHTTPScrumUnit testingJIRA,3 Days Ago,23-11-2024,Not disclosed
Performance Testing,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Monitoring toolsDebuggingRPGPerformance testingManager Technologydigital transformationSQLTesting,3 Days Ago,23-11-2024,Not disclosed
PLATFORM-AZURE-AZURE-ADMINISTRATION,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,Cloud computingChange managementLinuxVPNShell scriptingDisaster recoveryIncident managementWindows,3 Days Ago,23-11-2024,Not disclosed
AI-ML SUPPORT ROLE - AI-ML ASSURANCE,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-5 Yrs,TrainingComputer visiondeep learningDebuggingProgrammingDeploymentResearchPython,3 Days Ago,23-11-2024,Not disclosed
ISO AUDITOR,Majulah Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,TrainingLead AuditorManager Internal AuditInternal AuditorInternal auditHP data protectorInformation security managementISO 27001,30+ Days Ago,23-11-2024,Not disclosed
FULL STACK DEVELOPER,Majulah Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,Object oriented designCloud computingjQueryCodingProject managementMySQLDebuggingJavascript,30+ Days Ago,23-11-2024,Not disclosed
S&C Global Network - AI - CFO & EV - Quantexa Consultant,Accenture,"Pune, Gurugram, Bengaluru",10-20 Yrs,sqlpythonsaspresentation skillsramljspmanual testing,1 Day Ago,23-11-2024,Not disclosed
Java with Struts Backend,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,JavaJava Fullstackstruts backendFullstack DevelopmentStrutsCSSJSPEclipse,1 Day Ago,23-11-2024,Not disclosed
"React Developer/ Lead For Pune, Chennai, Hyderabad, Noida, Bangalore",Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,csshtmlreact jsJavascriptCsDevelopmentReact.js,1 Day Ago,23-11-2024,Not disclosed
.Net Core with React - Pan India,Tech Mahindra,"Hyderabad, Pune, Bangalore Rural",6-11 Yrs,.Net CoreSQL ServerReact.JsSQLCoreServ.NetPan,1 Day Ago,23-11-2024,10-18 Lacs PA
ServiceNow with App Engine Developer,Vimerse Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-6 Yrs,Process automationorchestrationCodingIntegration testingConceptualizationSystem developmentUnit testingSDLC,30+ Days Ago,23-11-2024,Not disclosed
ServiceNow Scrum Master,Vimerse Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-9 Yrs,Stakeholder EngagementCopy writingProject managementAgileUPSScrumAgile methodologyManagement,30+ Days Ago,23-11-2024,Not disclosed
ServiceNow App Engine Developer,Vimerse Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-6 Yrs,Process automationorchestrationCodingIntegration testingConceptualizationSystem developmentUnit testingSDLC,30+ Days Ago,23-11-2024,Not disclosed
Java Support Engineer,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,Java Production SupportJava Application SupportJava SupportIncident ManagementSplunkITILIncidentApplication support,1 Day Ago,23-11-2024,Not disclosed
Associate Director-Big 4- Presales,Big 4 Accounting Firms,"Hyderabad, Pune, Bengaluru",15-19 Yrs,Microsoft DynamicsRFPImplementation CycleDynamicsPresalesDynamicMicrosoft,2 Days Ago,23-11-2024,Not disclosed
Fullstack Developer,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",4-9 Yrs,C#ReactAzure DevOps.NET MVC.NET FrameworkFrameworkDevopsFull Stack,2 Days Ago,23-11-2024,Not disclosed
Looking For Robot FW Automation,Tech Mahindra,"Hyderabad, Pune, Bengaluru",7-10 Yrs,DB2Automation TestingMainframeUI pathJMeterUipathAutomationUI,2 Days Ago,23-11-2024,6-16 Lacs PA
"SAP Basis L1 @Nttdata, Hyderabad, Bangalore, Pune, Chennai",NTT DATA,"Hyderabad, Pune, Bengaluru",2-4 Yrs,SAPSupportBASISMonitoringHANAUpgradeKernelL1,2 Days Ago,23-11-2024,5.5-11 Lacs PA
Salesforce Program Manager,Sigmasoft Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-12 Yrs,ConsultingProject deliveryAdvisorySalesforceProgramProjectManagementDelivery,30+ Days Ago,23-11-2024,Not disclosed
Server not found,Z Plus Technology,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Web technologiesNetworkingFirewallServerServ,30+ Days Ago,23-11-2024,Not disclosed
Senior Java Developer / Tech Lead,Tech Mahindra,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,Spring BootCi/CdMicroservicesGITJava LeadNginxJava ProgrammingKafka,1 Day Ago,23-11-2024,Not disclosed
Java F2F Drive - Bangalore - Capgemini,Capgemini,"Hybrid - Pune, Chennai, Bengaluru",23-Nov,Springboot JavaJavaHibernateSpring BootMicroservicesSpring MvcJava DevelopmentDrives,2 Days Ago,23-11-2024,Not disclosed
Mega drive For SAP MM and ABAP developers,Cognizant,"Hybrid - Pune, Bangalore Rural, Chennai",6-11 Yrs,SAPMMMaterial ManagementABAPDrivesSAP ABAPSAP MMMaterials,2 Days Ago,23-11-2024,Not disclosed
"AWS Glue, Lambda, Python",Cognizant,"Kolkata, Pune",6-13 Yrs,Wealth managementCodingDiversity and InclusionData processingdata integrityContinuous improvementAWSFinancial services,1 Day Ago,23-11-2024,Not disclosed
