roles,companies,locations,experience,skills,Dates,PresentDate,salary
Associate,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,30+ Days Ago,24-11-2024,Not disclosed
AREA SALES MANAGER,Deepak Fertilisers and Petrochemicals (DFPCL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,30+ Days Ago,24-11-2024,Not disclosed
Assistant Manager (QM Electricals & Instrumentation),KSB Pumps Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,30+ Days Ago,24-11-2024,Not disclosed
Marketing Manager,TCPL,"Bengaluru, Greater Noida, Mumbai (All Areas)",5-10 Yrs,CartonsMarketing OperationsFlexible PackagingVendor ManagementProject CoordinationPrintingProject ExecutionPrinting And Packaging,4 Days Ago,24-11-2024,10-16 Lacs PA
Store Manager,DMart,"Ahmedabad, Delhi / NCR, Mumbai (All Areas)",9-14 Yrs,Team ManagementInventory ControlInventory ManagementProductionManagementStore managementStoresTeam,3 Days Ago,24-11-2024,Not disclosed
Logistics Manager,AkzoNobel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-12 Yrs,TPMOutboundClaimsTalent acquisitionProject managementCustomer serviceWarehouse managementHSE,1 Day Ago,24-11-2024,Not disclosed
Expert - Informatica +Redshift Developer,Schneider Electric,Bengaluru,3-9 Yrs,Business processData modelingEnterprise architectureGTSInformaticaOracleBusiness intelligenceTroubleshooting,1 Day Ago,24-11-2024,Not disclosed
Accountant,Caterpillar Inc,Bengaluru,3-4 Yrs,CostingSAPFinancial analysisCMAAnalyticalCost reductionGAAPMS Office,1 Day Ago,24-11-2024,Not disclosed
Certification. & Compliance. Engineer,Volvo Penta,Bengaluru,3-6 Yrs,ComplianceNetworkingAnalyticalConstruction equipmentManager TechnologyProduct designMS OfficeContinuous improvement,1 Day Ago,24-11-2024,Not disclosed
"Senior manager, Powertrain Shop",Tata Motors,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",17-23 Yrs,PowertrainTranslationHead Business DevelopmentExcelMINMechanicalauto industryAuto,4 Days Ago,24-11-2024,Not disclosed
