roles,companies,locations,experience,skills,Dates,PresentDate,salary
Software QA Engineer,Zeidler Legal Process Outsourcing,Mumbai,2-4 Yrs,System testingPostgresqlPerformance testingAgileScrumTest casesUnit testingsoftware quality,30+ Days Ago,23-11-2024,Not disclosed
SOC Shift Lead,MitKat,Mumbai,3-8 Yrs,Quality standardsPDFExcelAccess managementSOCShift LeadIncident managementpower bi,30+ Days Ago,23-11-2024,Not disclosed
Logo & Graphics Designer,99logos,"Mumbai, Nashik",1-5 Yrs,GraphicsSANGraphic designingFrenchIllustratorSocial mediaCorel Drawpackaging design,30+ Days Ago,23-11-2024,Not disclosed
Managing Director,Prompt Personnel,Mumbai,3-8 Yrs,TrainingPathologyPayrollDiagnosticsBillingLabManaging DirectorCase,30+ Days Ago,23-11-2024,Not disclosed
Managing Director,Prompt Personnel,Mumbai,5-10 Yrs,m dequipmentstestssupervisingtechnicianmachinescustomerslab,30+ Days Ago,23-11-2024,Not disclosed
Graphic Designer,One Point One Solutions,Mumbai,5-7 Yrs,GraphicsPrintingGraphic designingSocial mediaConceptualizationManagementDesignMedia,30+ Days Ago,23-11-2024,Not disclosed
Junior Architect,Shree Designs,Mumbai,2-3 Yrs,Health insuranceMarket studyAutoCADCADProject HeadHealthcareREVITInternship,30+ Days Ago,23-11-2024,Not disclosed
Java With Web Services L1,TEAMQUEST CONSULTANT PRIVATE LIMITED,Mumbai,7-10 Yrs,HibernateSpring mvcjQueryWeb serviceshtml5bootstrapSpringAWS,30+ Days Ago,23-11-2024,Not disclosed
Java Support,TEAMQUEST CONSULTANT PRIVATE LIMITED,Mumbai,3-5 Yrs,Root cause analysisRecruitment ExecutiveCore JavaMonitoring toolsLinuxSpring frameworkIncident managementTechnical support,30+ Days Ago,23-11-2024,Not disclosed
Draughtsman - 2D Autocad,Vishva Associates,"Mumbai, Navi Mumbai",4-8 Yrs,DraughtsmanAutoCAD 2DDrafting2DAutoCAD,30+ Days Ago,23-11-2024,Not disclosed
Draughtsman - 3D Cadmatic,Vishva Associates,"Mumbai, Navi Mumbai",1-7 Yrs,3DDraughtsmanCadmaticDrafting,30+ Days Ago,23-11-2024,Not disclosed
"Business Development Executive , Sales Manager",IBN Technologies,Mumbai,3-8 Yrs,Lead generationSalesCloud managementRelationshipSoftware salesManager TechnologyBusiness Development ExecutiveITES,30+ Days Ago,23-11-2024,Not disclosed
"Sr Manager, CRM Retention Marketing",Prime Hire Inc.,Mumbai,2-6 Yrs,digital marketingmodern tradecustomer marketingbtl activationchannel salesbrand activationbusiness developmentsales,30+ Days Ago,23-11-2024,Not disclosed
"AVP, Business Finance",Prime Hire Inc.,Mumbai,6-10 Yrs,financial analysisrisk managementproject managementoperations managementprogram managementbusiness developmentbanking operationsbudgeting,30+ Days Ago,23-11-2024,Not disclosed
Chartered Accountant,DPS & Co.,Mumbai,2-9 Yrs,Chartered Accountant for DPS | Cognito FormsAccountingAWS Cognito,30+ Days Ago,23-11-2024,Not disclosed
"Manager, Performance Marketing",Prime Hire Inc.,Mumbai,2-6 Yrs,ManagerPerformance MarketingPerformanceManagementMarketing,30+ Days Ago,23-11-2024,Not disclosed
Utility Engineer (WTP/ETP/CT/Chiller),Vishva Associates,Mumbai,4-8 Yrs,etpdm plantutility maintenancehvactransformersair dryerdgpreventive maintenance,30+ Days Ago,23-11-2024,Not disclosed
ESM Leader (Site),Vishva Associates,Mumbai,5-10 Yrs,risk managementproject managementoperations managementisoregulatorytraininggmpich,30+ Days Ago,23-11-2024,Not disclosed
Dy/Manager (Finance & Accounts),MANISH C. DOSHI & CO,Mumbai,1-4 Yrs,Capital AdvisorsAdministrationCredit OfficersReport GenerationPoliciesMortgage AdvisorsAnalystsanalytical skills,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager - Finance,MANISH C. DOSHI & CO,Mumbai,3-5 Yrs,Capital AdvisorsAdministrationCredit OfficersReport GenerationPoliciesMortgage AdvisorsAnalystsanalytical skills,30+ Days Ago,23-11-2024,Not disclosed
Senior Consultant,Insights India Relationship Management Services Pvt. Ltd.,Mumbai,5-10 Yrs,Supply chainSolution designPayrollData migrationInterpersonal skillsProject managementBusiness intelligenceSCM,30+ Days Ago,23-11-2024,Not disclosed
Manager,Insights India Relationship Management Services Pvt. Ltd.,Mumbai,5-10 Yrs,SAPData modelingHyperionPresalesERP implementationBusiness ExecutiveSales consultingOBIEE,30+ Days Ago,23-11-2024,Not disclosed
Administrative Executive,Colourcraft Studio,Mumbai,1-4 Yrs,Office administrationMS OfficeAdministration ExecutiveExecutive supportAdministrationMicrosoftOffice,30+ Days Ago,23-11-2024,Not disclosed
