roles,companies,locations,experience,skills,Dates,PresentDate,salary
Reliance is hiring For Social Media-Blended process,Jio,"Hybrid - New Delhi, Pune, Mumbai (All Areas)",1-2 Yrs,Blended ProcessInternational Call CenterExcellent Communication In EnglishInternational BPOInternational Voice ProcessCustomer ServiceSemi VoiceNon Voice,5 Days Ago,24-11-2024,2.75-3.5 Lacs PA
Localization Engineer,Pole To Win (PTW),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,E-learningContent managementManager Quality AssuranceTalent acquisitionXMLHTMLPerlHTTP,30+ Days Ago,24-11-2024,Not disclosed
Showroom Sales Executive Bangalore,2coms,Asansol,1-6 Yrs,showroomcustomer servicedirect marketingteam handlinginterpersonal skillsshowroom managementretail salesbusiness development,3 Days Ago,24-11-2024,3-5 Lacs PA
Manager Secretary,Vodafone Idea,Mumbai,5-10 Yrs,Personal AssistanceTravel ManagementCalendar ManagementEAAssistanceCoordinationManagementSecretarial activities,1 Day Ago,24-11-2024,Not disclosed
Elite Sales Ambassador For Luxury Brand (Mumbai),2coms,Mumbai,0-5 Yrs,brandingcustomer serviceinterpersonal skillsretail salessalesretailfield salesbrand management,4 Days Ago,24-11-2024,"50,000-2 Lacs PA"
Circle O&M - Field Support Engineer,Indus Towers,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,TrainingComplianceTroubleshootingTechnical supportPreventive maintenanceMMaintenancePreventive,30+ Days Ago,24-11-2024,Not disclosed
DTC GTM Manager-Malad-Mumbai,Airtel,Mumbai,2-6 Yrs,gtmexecutionanalyticalpresentation skillschannelbusiness developmentdistributiontracking,1 Day Ago,24-11-2024,Not disclosed
Ad Operations Executive,Regalix,Remote,2-6 Yrs,Ad OperationsAd TraffickingFacebook AdsPpc CampaignsGoogle AdWordsCampaign ManagementDisplay AdvertisingDCM,1 Day Ago,24-11-2024,Not disclosed
Content Writer No Of Openings: 4,World E Mart,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-7 Yrs,Content WriterCONTENTWRAITERWritingContent writing,30+ Days Ago,24-11-2024,Not disclosed
Manager - Ad Sales,Live Times/ Two Star Media Pvt. Ltd.,"Mumbai, Chandigarh, Bengaluru",4-8 Yrs,sales targetRevenue GenerationCollaborationSales Strategybuild relationshipSales ActivitiesSalesManagement,1 Day Ago,24-11-2024,4-8 Lacs PA
Webmaster,Hotel Supply Mart,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-6 Yrs,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,30+ Days Ago,24-11-2024,Not disclosed
Customer Success Manager (Non-Gaming Supply).,Inmobi,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",3-6 Yrs,operationsleadershipupselladvertisingcsmonline advertisingcustomer experienceCustomer focus,4 Days Ago,24-11-2024,Not disclosed
Key Account Manager - B2B Sales,Jio,"Mumbai, Bengaluru, Delhi / NCR",4-8 Yrs,B2B SalesEnterprise SalesSaaS SalesSolution SalesSoftware SalesHardware SalesIT SalesSoftware,25 Days Ago,24-11-2024,Not disclosed
Data IO Assistant,DNEG,Mumbai,2-5 Yrs,Data IOaspect ratiorecording formatsQCLinuxfilm camerasFilmIo,1 Day Ago,24-11-2024,Not disclosed
Lead - Product Marketing,Inmobi,Bengaluru,4-6 Yrs,SANField marketingCompetitive analysisMarket intelligenceVenture capitalWeavingHTTPDigital marketing,2 Days Ago,24-11-2024,Not disclosed
Mechanical technician,Schlumberger India Technology Centre Pvt. Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-12 Yrs,repaircorrective maintenancepredictive maintenancepreventive maintenancemaintenance engineeringequipmentmaintenance planningbreakdown analysis,1 Day Ago,24-11-2024,Not disclosed
Regional Collection Manager,Vodafone Idea,Mumbai,4-9 Yrs,Collection ManagementB2B CollectionAr CollectionDebt CollectionDebt RecoveryCredit CollectionDebt ManagementAugmented Reality,1 Day Ago,24-11-2024,Not disclosed
Sales Manager - Microsoft Advertising,Inmobi,"Mumbai, Bengaluru",6-8 Yrs,Career developmentDisplay advertisingCustomer satisfactionFocusAd salesManager TechnologyWeavingmicrosoft,30+ Days Ago,24-11-2024,Not disclosed
Manufacturing and Maintenance Cloud Senior Consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",8-12 Yrs,Business processData migrationFTPTest scriptsDebuggingConsultingOracleTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
Administration Executive,South Mumbai Chess Academy,"Mumbai(Mahalaxmi), Mahalaxmi",0-3 Yrs,Communication SkillsInternet SurfingBasic Excel Good Communication Skills Email Cold Calling Computer MS Word Internet Surfing Record ManagementMicrosoft ApplicationsEmail WritingOffice ManagementComputer SkillsOffice Coordination,10 Days Ago,24-11-2024,2-3 Lacs PA
Videographer - Miss India pageants,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",4-9 Yrs,videographyAdobe Premiere ProvideographercodecsFinal Cut ProAdobePremiere PROAdobe Premiere,3 Days Ago,24-11-2024,8-11 Lacs PA
Travel Desk,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,TravelbookingflighthotelMICETravel deskDeskBroking,2 Days Ago,24-11-2024,4-6.5 Lacs PA
Department Coordinator,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,Calendar ManagementtravelcoordinationManagement,4 Days Ago,24-11-2024,3.5-4 Lacs PA
Load Balancer (LB) / Web Application Firewall (WAF) Subject Matter Exp,Jio,Navi Mumbai,10-12 Yrs,Load BalancingWeb Application FirewallF5NetscalerFirewallApplicationBalanceLBS,5 Days Ago,24-11-2024,12-17 Lacs PA
Maintenance Supervisor,Cinepolis,Navi Mumbai,2-4 Yrs,HVACElectricalsMaintenance,3 Days Ago,24-11-2024,3-3.5 Lacs PA
Deputy Manager - Marketing ( Events),Oberoi Realty,Mumbai Suburban,5-8 Yrs,marketingEvents ManagementEvent Planningevent conceptualisationEvent OperationsEvent MarketingConceptualizationEvents,6 Days Ago,24-11-2024,5-8.5 Lacs PA
IT Supervisor,Cinepolis,Navi Mumbai,2-4 Yrs,Desktop SupportServer SupportHardware NetworkingSoftware InstallationNetwork SupportDesktopServHardware,3 Days Ago,24-11-2024,3-3.5 Lacs PA
Front-End Engineer,Nouveaucomm Networks Research Centre Private Limit...,Mumbai,1-3 Yrs,front endcssweb applicationuser interface designingui developmentbootstrapajaxscalability,4 Days Ago,24-11-2024,Not disclosed
Elite Sales Ambassador For Luxury Brand (Pan India),2coms,"Mumbai, Hyderabad, Bengaluru",1-6 Yrs,visual merchandisingmanagement skillsretail operationsbrandingcustomer serviceinterpersonal skillsretail salesapparel,4 Days Ago,24-11-2024,Not disclosed
Business Head Sales And Marketing,Live Times / Two Star Media Pvt. Ltd.,"Noida, Mumbai, Bengaluru",15-20 Yrs,Team LeadershipRevenue GenerationOperational ExcellenceAdvertising SalesResource OptimizationBudget ManagementDigital SalesBusiness Development,4 Days Ago,24-11-2024,12-20 Lacs PA
Ran Lead,Airtel,Pune,10-15 Yrs,Nokia BSCBSS EngineerBss EngineeringRAN SpecialistEngineeringRANBss,1 Day Ago,24-11-2024,10-14 Lacs PA
Accounting Expert,Amdocs,Pune,4-6 Yrs,Health insuranceSAP ERPUS GAAPFinancial reportingAccountingFinanceConsultingIFRS,1 Day Ago,24-11-2024,Not disclosed
Sponsorship Sales,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",6-11 Yrs,salesMedia Salesconcept salesConcept SellingsponsorshipExhibition SalesSponsorship SalesEvent Sales,4 Days Ago,24-11-2024,7-17 Lacs PA
Finance and cost accounting principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",10-12 Yrs,ProcurementFTPFixed assetsConsultingCash managementOracleResource managementTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
PLM and procurement principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",8-12 Yrs,PLMProcurementSupply chainData migrationFTPDebuggingConsultingOracle,30+ Days Ago,24-11-2024,Not disclosed
Deputy Manager / Assistant Lead - Pega,_VOIS,Pune,5-9 Yrs,PegaIT DevelopmentTeam leadingsolution designProject deliveryCRMLeadershipProject,1 Day Ago,24-11-2024,Not disclosed
Mainframe Capacity Planner,Amdocs,Pune,3-6 Yrs,TSOJCLDb2CicsAS400IT operationsTechnical supportIMS,1 Day Ago,24-11-2024,Not disclosed
Order management and procurement principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",10-12 Yrs,Order managementProcurementBusiness processData migrationFTPTest scriptsDebuggingConsulting,30+ Days Ago,24-11-2024,Not disclosed
Cloud finance principal consultant,U2o3 Infotech,"Hyderabad, Pune, Bengaluru",6-8 Yrs,ProcurementSolution architectureData migrationFTPDebuggingConsultingCash managementOracle,30+ Days Ago,24-11-2024,Not disclosed
Copywriter,Flatworld Solutions (FWS),Bengaluru,2-5 Yrs,ConceptualizationcopywriterAd copyAdvertising Agencyweb copyIdeationAd AgencyWriting,6 Days Ago,24-11-2024,5-7 Lacs PA
VFX Editor,The Walt Disney Company,Mumbai,2-5 Yrs,Post productionPrintingProduction SupervisorLinuxCodingAnimation SupervisorDatabaseVFX,5 Days Ago,24-11-2024,Not disclosed
Virtual Assistant,Party Star,Mumbai,0-1 Yrs,Social MediaOffice AssistanceSocial MarketingReceptionist ActivitiesSocial Media MarketingMediaAssistanceMedia marketing,6 Days Ago,24-11-2024,"96,000-1.8 Lacs PA"
AGM - Area Sales | Bangalore,Vodafone Idea,Bengaluru,7-12 Yrs,DistributionTeam HandlingSalesTeamArea salesHandlingAgm,8 Days Ago,24-11-2024,15-18 Lacs PA
Customer Service Professional,Fortinet Technologies,Bengaluru,3-4 Yrs,Product qualityCustomer Service ProfessionalNetworkingCustomer satisfactionFinanceNetwork securityCustomer serviceContinuous improvement,3 Days Ago,24-11-2024,Not disclosed
System Engineer,The Walt Disney Company,Mumbai,2-5 Yrs,SANAutomationLinuxLDAPActive directoryDNSWindowsCustomer service,5 Days Ago,24-11-2024,Not disclosed
Delegate Sales / Acquisition,Times Strategic Solutions Limited,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",2-5 Yrs,revenuesalesdelegateacquisitionDelegate SalesDelegation,5 Days Ago,24-11-2024,3-6.5 Lacs PA
