roles,companies,locations,experience,skills,Dates,PresentDate,salary
Hiring For Swiggy For Warehouse Executive- Security & loss prevention,Swiggy,"Chandigarh, Pune, Mumbai (All Areas)",0-4 Yrs,Loss PreventionCctv MonitoringWarehouse AuditAsset ProtectionAuditingCCTVAssetWarehouse,8 Days Ago,24-11-2024,Not disclosed
HR (Executive/ Senior Executive) - Tribeca Group - Lower Parel - Mum,Tribeca Creators Llp,"Pune, Mumbai (All Areas)",4-9 Yrs,ScreeningRecruitmentHiringSourcingTalent AcquisitionHrsdSeniorAcquisition,2 Days Ago,24-11-2024,Not disclosed
QA QC,Lodha Group,"Bengaluru, Mumbai (All Areas)",4-9 Yrs,QualityQCQa/QcQuality ControlQuality assuranceQuality assuranceControl,4 Days Ago,24-11-2024,5-13 Lacs PA
Production supervisor,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-12 Yrs,Production SupervisorComplianceProduction planningKPIInprocess qualityPackagingContinuous improvementSix sigma,1 Day Ago,24-11-2024,Not disclosed
Planning Manager,Sterling & Wilson,"Mumbai, Pune",10-20 Yrs,Project PlanningProject ControlProject SchedulingSchedulingManagementPlanning ManagementPlanningProject,1 Day Ago,24-11-2024,10-15 Lacs PA
Civil Site Engineer/Supervisor,Disha Consultant,"Pune, Solapur, Mumbai (All Areas)",0-5 Yrs,Civil EngineeringSite PlanningConstruction ManagementSite SupervisionSite ExecutionCivil SupervisionLabour ControlCivil diploma,2 Days Ago,24-11-2024,1.75-3 Lacs PA
Corporate Sales Executive,Atlas Jewellery,"Mumbai, New Delhi, Bengaluru",0-1 Yrs,Corporate Sales ExecutiveCorporateSalesCorporate sales,30+ Days Ago,24-11-2024,Not disclosed
Business Finance Manager,Larsen & Toubro (L&T),"Bengaluru, Mumbai (All Areas)",2-7 Yrs,Business FinancePricingForecastingFinancial AnalysisFinancial PlanningFinancial Planning And AnalysisBudgetingperformance tracking,9 Days Ago,24-11-2024,Not disclosed
Executive Administrator,Brunel,Bengaluru,3-7 Yrs,AdministrationExecutive AdministratorExcelCustomer servicePowerpointMS Office WordOfficeExecutive support,1 Day Ago,24-11-2024,Not disclosed
Property Advisor-Bangalore,2coms,Bengaluru,1-6 Yrs,channel salesadministrationreal estateestatebusiness developmentsalesinside salesmarketing,2 Days Ago,24-11-2024,3.25-7 Lacs PA
EHS,Lodha Group,"Bengaluru, Mumbai (All Areas)",4-9 Yrs,EHSEnvironment Health SafetyHSESafetyEnvironmentHealth,5 Days Ago,24-11-2024,4-9 Lacs PA
Sales Engineer Specialist,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,Product managementGISElectrical engineeringSalesBiddingSwitchgearCustomer satisfactionCost,1 Day Ago,24-11-2024,Not disclosed
Field Service Engineer,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,GISComplianceService engineeringMechanicalMOMManager Quality ControlElectricalsTesting,1 Day Ago,24-11-2024,Not disclosed
Project Planning & Controls Specialist,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,GISSystem testingPMPProject managementEPCSchedulingOracleForecasting,15 Days Ago,24-11-2024,Not disclosed
Chief Project Manager,Sterling & Wilson,"Pune, Mumbai (All Areas)",20-25 Yrs,Project ManagementProject ExecutionEngineering Project ManagementProject MonitoringEnvironment Health SafetyEngineeringEnvironmentProject engineering management,1 Day Ago,24-11-2024,Not disclosed
Chief Safety Manager,Sterling & Wilson,"Pune, Mumbai (All Areas)",2-5 Yrs,EHSHSEEnvironment Health SafetyHealthSafetyEnvironmentManagementSafety management,1 Day Ago,24-11-2024,Not disclosed
Project Engineer - Oracle PL/SQL Developer,Hitachi Energy,Bengaluru,4-7 Yrs,ProcurementComputer sciencePerformance tuningSystem testingSQL TuningProject managementSchemaDatabase administration,1 Day Ago,24-11-2024,Not disclosed
Regional Head,Jio bp,Bengaluru,10-15 Yrs,SalesFTLRegional,2 Days Ago,24-11-2024,20-30 Lacs PA
Traction System Engineer,2coms,Bengaluru,2-7 Yrs,conveyorspythonproject managementcsoftware testingpurchasesystem designrolling stock,2 Days Ago,24-11-2024,3.25-6 Lacs PA
